imageidx;x;y;z;gt_id
92;8.169147819893219;-1.1550291595499638;20.55240748902752;0
98;7.681443867077956;-0.9759288324778472;8.741600894021861;0
165;9.556027678071745;-1.4770235502404838;18.139366783015003;1
166;9.499517711770872;-1.4439366440389108;15.73342716353896;1
166;8.802517429166693;-2.8438685345409187;15.714847700746908;2
172;7.82601991696471;-1.1776447148056497;13.774120623601695;3
246;6.106384192410143;-0.9685467317059332;15.441472827391355;4
246;-6.834409170003178;-1.0304688251773273;16.260221453030006;5
249;6.175969385957781;-0.6099437924290176;7.392506790836268;4
249;-6.757084826209322;-0.8557938616628822;8.294723631726773;5
349;6.537525993213539;-2.727182566337378;65.71665140194665;6
364;6.546364108595295;-2.105389308285673;25.887175448801923;6
369;6.464406671918798;-1.8839214175346335;12.612829327087688;6
437;7.4478480957699595;-1.1639707026640675;26.25609160207873;7
443;7.371275793423789;-0.9519398187439052;10.332558817058988;7
524;4.6939294254341934;0.7171837540854518;10.405253031042706;8
551;5.632523859466629;-0.8818097207068871;9.688150763626883;9
573;6.717405976937647;-1.0427733397048673;13.09076325562958;10
575;6.706522647216952;-0.9192473878831978;7.9864029476823495;10
587;7.236209571401514;-2.629151404368598;66.77222219037412;11
731;5.30596692474178;-0.8853920910784702;6.965126783873067;12
763;6.76983690239271;-0.9262656120182498;9.9173549847107;13
882;3.513740768508286;-1.0453281411554909;5.6434621987974545;14
883;3.4198819382296763;-1.0176529413694275;4.1197065969415565;14
1089;-11.174534189368426;-1.1266064844389174;18.328467636335148;15
1091;-11.322379935168733;-1.0958940945580609;15.018056826464061;15
