imageidx;x;y;z;gt_id
84;-10.5093045071133;-1.2113799969685122;16.736692356894334;0
84;-10.313118492629787;-0.4704007755464926;17.18843525632452;1
84;5.859824164204537;-1.490701555138774;19.650952897077378;2
89;-10.698441635086926;-0.9752735841646952;13.690039066160073;0
89;-10.503357355466678;-0.23330539367371936;14.140634405477405;1
89;5.632228040903635;-1.3366860784937444;16.804182516403348;2
1103;8.858486246860156;-1.1652297986549056;12.274652636464946;3
1169;4.643415475954671;-1.272780369680926;19.386170778431442;4
1176;5.156001003713567;-1.383153706001694;12.869650234116627;4
1183;5.397521364641689;-1.0867035059793544;6.478131415351948;4
1376;2.2682645537294643;-1.5549650928512864;17.716977499476496;5
1377;2.080700914636258;-1.5687511861821912;17.370747168408258;5
1398;-2.572153610029166;-1.2258653856673405;12.779750876145453;5
1545;-8.010512157022896;-0.8418474056602275;13.341615503280831;6
2228;6.426328230216838;-1.5758293410458275;21.507895840325986;7
2242;4.8070255621639575;-1.46746179889298;15.916033485708112;7
2259;2.281690295465227;-0.7011696160466632;12.055035551760405;7
2270;2.8630853133383547;-0.94816320631773;6.1918567867356655;7
2340;2.3689734053853715;-1.3040634045491708;18.93461431739286;8
2351;2.942104336749777;-1.1802631741838978;11.106931393274293;8
2359;2.6736241182164173;-1.0616781800779458;4.356458443894908;8
2416;-7.642693946297034;-0.8444471744579058;16.704381217691033;9
2422;-9.571633238024068;-0.6219801587610614;12.016589987639101;9
3344;2.2891487539160043;-1.0961868901304068;14.79016523806596;10
3538;-3.879850791772701;-1.0156176107690689;14.417872533466356;11
3654;-12.965725060662527;-1.1374769010916923;19.20162902937204;12
3658;-13.098463931817193;-0.9495285183781412;15.767236111371037;12
4272;-10.11012212611114;-1.0181543227718923;12.769226080679154;13
4374;-8.449289908329055;-1.3456173562296905;21.21944604743122;14
4381;-0.6715333042881138;-1.2409120905137232;18.147042782961982;14
4389;4.088129106416717;-0.9131379254302224;12.44212115226585;14
4398;4.043913416669059;-0.9118905585484862;6.900642064356818;14
